vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
IMO:0,IMO,SOBRINO,0,244059206,,Passenger ship,Passenger ship,17,5,0,RELIABLE,under_24_m,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,reliable length is below the 24 m yacht threshold,0,0,93,2,2026-07-01T13:15:52.547Z,2026-07-02T14:49:50.262Z
IMO:1004443,IMO,M/Y VARMAR-VE,1004443,232193000,,Passenger ship,Passenger ship,55,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,138,2,2026-07-01T13:32:37.130Z,2026-07-02T14:48:37.024Z
IMO:1012294,IMO,GRACE,1012294,319061600,,Passenger ship,Passenger ship,81,14,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,0,0,43,2,2026-07-01T13:57:21.482Z,2026-07-02T14:48:22.307Z
IMO:1013250,IMO,FRISIA E-I,1013250,218055770,,Passenger ship,Passenger ship,32,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,95.363,95.363,83,2,2026-07-01T14:45:26.499Z,2026-07-02T14:49:55.106Z
IMO:1016953,IMO,PROTOPOROS XVIII,1016953,240628200,,60,60,84,18,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: 60; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,76.48,76.48,17,2,2026-07-01T17:32:16.633Z,2026-07-02T14:30:10.284Z
IMO:1020588,IMO,AGGELIS F. III,1020588,240639300,,Passenger ship,Passenger ship,75,16,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,0,0,1,1,2026-07-02T11:52:34.550Z,2026-07-02T11:52:34.550Z
IMO:1022809,IMO,SPRING OF THE FJORDS,1022809,259034400,,60,60,46,12,0,RELIABLE,40_79_99_m,REVIEW_REQUIRED / MEDIUM,UNCERTAIN,0.42,IMO present; MMSI present; AIS/type metadata: 60; length and width pass yacht plausibility checks; candidate retained for review because size/type metadata is ambiguous,,107.719,107.719,43,2,2026-07-01T13:56:11.975Z,2026-07-02T14:42:01.644Z
IMO:1024857,IMO,LEROY TROLLFJORD,1024857,259042710,,Passenger ship,Passenger ship,18,11,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,40.98,40.98,91,2,2026-07-01T13:49:56.935Z,2026-07-02T14:48:17.854Z
IMO:1031446,IMO,EMERALD KAIA,1031446,311001556,,Passenger ship,Passenger ship,120,18,0,RELIABLE,80_m_and_above,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.88,IMO present; MMSI present; AIS/type metadata: Passenger ship; length and width pass yacht plausibility checks,commercial passenger/cruise scale or classification detected,0,0,9,1,2026-07-02T11:59:03.970Z,2026-07-02T14:47:04.049Z
IMO:1039051,IMO,CABARET2,1039051,367083060,,Passenger ship,Passenger ship,0,0,0,MISSING,unknown_length,REVIEW_REQUIRED / MEDIUM,LIKELY_FALSE_POSITIVE,0.58,IMO present; MMSI present; AIS/type metadata: Passenger ship,no yacht evidence in available metadata,12.531,12.531,32,1,2026-07-02T13:35:58.523Z,2026-07-02T14:43:18.283Z
