vessel_key,identity_basis,name,imo,mmsi,operator,ais_type,type_label,length_m,width_m,gross_tonnage,dimension_quality,size_band_reliable,existing_cruise_classification,candidate_classification,confidence_score,classification_reasons,exclusion_reasons,total_estimated_co2_tonnes,latest_month_estimated_co2_tonnes,observation_count,active_days,first_observed,latest_observed
MMSI:244732755,MMSI,ALESSIA,,244732755,,Passenger ship,Passenger ship,106,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,0,0,1,1,2026-07-01T14:40:40.457Z,2026-07-01T14:40:40.457Z
MMSI:244710764,MMSI,ALLEGRO,,244710764,,Passenger ship,Passenger ship,105,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,commercial passenger/cruise scale or classification detected; dimensions are implausible for a yacht analysis,0,0,35,2,2026-07-01T14:36:54.187Z,2026-07-02T14:45:52.965Z
MMSI:244710122,MMSI,SALVINIA,,244710122,,Passenger ship,Passenger ship,90,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,39.087,39.087,103,2,2026-07-01T14:32:37.470Z,2026-07-02T14:40:17.848Z
MMSI:269055879,MMSI,SANS SOUCI,,269055879,,Passenger ship,Passenger ship,82,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,73.565,73.565,45,1,2026-07-02T11:53:07.357Z,2026-07-02T14:50:17.261Z
MMSI:244670699,MMSI,PRINS WILLEM ALEX.,,244670699,,Passenger ship,Passenger ship,85,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,31,2,2026-07-01T15:12:18.323Z,2026-07-02T14:48:20.018Z
MMSI:269057195,MMSI,EXCELLENCE PEARL,,269057195,,Passenger ship,Passenger ship,82,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,30,2,2026-07-01T14:35:15.982Z,2026-07-02T14:48:16.061Z
MMSI:211876990,MMSI,STOLZENFELS,,211876990,,69,69,80,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.7,MMSI present; AIS/type metadata: 69,dimensions are implausible for a yacht analysis,0,0,0,0,,
MMSI:270408000,MMSI,FLORENTINA,,270408000,,Passenger ship,Passenger ship,80,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,0,0,102,2,2026-07-01T14:57:02.231Z,2026-07-02T14:47:54.511Z
MMSI:237013400,MMSI,COSMOS,,237013400,,Passenger ship,Passenger ship,68,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.88,MMSI present; AIS/type metadata: Passenger ship,dimensions are implausible for a yacht analysis,72.917,72.917,65,2,2026-07-01T14:44:59.043Z,2026-07-02T14:35:50.447Z
MMSI:367325010,MMSI,PROVINCETOWN II,,367325010,,60,60,64,10,0,IMPLAUSIBLE,unknown_length,REVIEW_REQUIRED / LOW,LIKELY_FALSE_POSITIVE,0.7,MMSI present; AIS/type metadata: 60,dimensions are implausible for a yacht analysis,34.13,34.13,104,2,2026-07-01T14:49:38.156Z,2026-07-02T12:50:16.289Z
