classification,dimension_basis,under_24_m,from_24_to_39_99_m,from_40_to_79_99_m,gte_80_m,unknown_length,cumulative_gte_24_m,cumulative_gte_40_m,cumulative_gte_80_m
ALL,RELIABLE_ONLY,674,745,459,695,577,1899,1154,695
ALL,RELIABLE_OR_PLAUSIBLE,674,746,459,695,576,1900,1154,695
VERIFIED_YACHT,RELIABLE_ONLY,0,0,1,0,0,1,1,0
VERIFIED_YACHT,RELIABLE_OR_PLAUSIBLE,0,0,1,0,0,1,1,0
PROBABLE_YACHT,RELIABLE_ONLY,0,0,0,0,0,0,0,0
PROBABLE_YACHT,RELIABLE_OR_PLAUSIBLE,0,0,0,0,0,0,0,0
UNCERTAIN,RELIABLE_ONLY,0,740,452,255,1,1447,707,255
UNCERTAIN,RELIABLE_OR_PLAUSIBLE,0,741,452,255,0,1448,707,255
LIKELY_FALSE_POSITIVE,RELIABLE_ONLY,674,5,6,440,576,451,446,440
LIKELY_FALSE_POSITIVE,RELIABLE_OR_PLAUSIBLE,674,5,6,440,576,451,446,440
